[2024-03-08T10:13:00,580][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.002521s) SELECT * FROM stockreactif 
[2024-03-08T10:13:00,476][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.005005s) SELECT * FROM piecejoints
[2024-03-08T10:13:00,474][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.003648s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:13:54,730][INFO ][logstash.inputs.jdbc     ][main][6306528dd682cc53dbcd8c45b2c123f75c4f6676f062f7f75f26dc0c07197863] (0.002158s) SELECT * FROM elementatb 
[2024-03-08T10:13:54,731][INFO ][logstash.inputs.jdbc     ][main][fa5ffd8b20df9e8eaffdd3650df469fe1d612eb13afe6ee06dc45a3bda7f6a04] (0.004679s) SELECT * FROM typeelementresult  
[2024-03-08T10:14:00,991][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.005582s) SELECT * FROM stockreactif 
[2024-03-08T10:14:00,996][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.009030s) SELECT * FROM piecejoints
[2024-03-08T10:14:00,999][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.006570s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:14:01,003][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.004753s) SELECT * FROM resultatatb 
[2024-03-08T10:14:01,013][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.006895s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:14:20,586][INFO ][logstash.inputs.jdbc     ][main][a798cde71442239c4a7210903aa0b4864da698bb209fcd4a46db7120373aa5d8] (0.002895s) SELECT * FROM tubeprelevement
[2024-03-08T10:14:20,590][INFO ][logstash.inputs.jdbc     ][main][08f05123f4cb903c888fc00518c37a2f8cf98ff22c341aacb31b686836981769] (0.002972s) SELECT * FROM interpretation  
[2024-03-08T10:14:20,591][INFO ][logstash.inputs.jdbc     ][main][4a30d30abeaf8670ec1bb835dfdb2e3ddab76d7e1966398da1d63f69617a94f9] (0.006837s) SELECT * FROM examen_analyse 
[2024-03-08T10:14:26,236][INFO ][logstash.inputs.jdbc     ][main][7c56dfe22fbd8bf0973397811da6942a0b64b409c232562102a88f6ef4c47adf] (0.001936s) SELECT * FROM parametres  
